,name,fnn,same,sub,target,FNN,Same,Sub
0,5d83020c30582ea2977a0e3e,,,,-0.4628377699999841,{'Ni': 4},"{'Ni': 8, 'Pt': 9}",{'Ni': 4}
1,5d83020c30582ea2977a0e42,,,,0.0378902700000001,"{'Ag': 1, 'Au': 1}","{'Ag': 1, 'Au': 7}","{'Ag': 1, 'Au': 4}"
2,5d83020c30582ea2977a0e4c,,,,-1.076764739999993,{'Ni': 1},{'Sb': 2},{'Sb': 2}
3,5d83020c30582ea2977a0e57,,,,-1.0750554200000035,{'Ni': 1},{'Sb': 2},{'Sb': 2}
4,5d83020c30582ea2977a0e64,,,,-1.3990721000000033,"{'N': 2, 'Fe': 1}","{'Pt': 2, 'N': 1, 'Fe': 4}","{'Pt': 1, 'Fe': 2}"
5,5d83020c30582ea2977a0e73,,,,-1.7211565699999962,{'Fe': 1},"{'Pt': 4, 'Cu': 2}","{'Pt': 2, 'Cu': 1}"
6,5d83020c30582ea2977a0e81,,,,-0.3302037500000079,{'Cu': 1},"{'Si': 2, 'Cu': 4}","{'Si': 1, 'Cu': 2}"
7,5d83020c30582ea2977a0e88,,,,-0.1171621199999979,{'Al': 1},{'Ag': 6},"{'Ag': 2, 'Al': 1}"
8,5d83020c30582ea2977a0e8d,,,,-0.1643478900000001,{'Cu': 2},"{'Si': 3, 'Cu': 5}","{'Si': 1, 'Cu': 4}"
9,5d83020c30582ea2977a0eab,,,,-0.7462728199999926,{'Pd': 1},"{'Si': 2, 'Pd': 2}","{'Si': 1, 'Pd': 3}"
